poiID,poiCat,poiLon,poiLat
1,Historical,-3.199862034580875,55.94884683716422
2,Historical,-3.1724675937052966,55.95276297997137
3,Museum,-3.190347155095568,55.9467227646501
4,Structure,-3.1751214683972875,55.95223434537238
5,Structure,-3.3887200833333337,55.999739000000005
6,Structure,-3.404049090909091,56.0012820909091
7,Park,-3.1618879074074004,55.94412091798946
8,Historical,-3.193193944356141,55.952538583465206
9,Cultural,-3.190637230008985,55.94980869047352
10,Park,-3.1829573739644994,55.95515047337272
11,Historical,-3.181937191191187,55.95460454054049
12,Cultural,-3.2044906274834797,55.94680475745124
13,Cultural,-3.1869824308822845,55.94635503896903
14,Structure,-3.209618379562047,55.94610982238432
15,Structure,-3.196984674391582,55.95182393800676
16,Museum,-3.195737522458634,55.951008898345115
17,Structure,-3.1902347191097684,55.948767777436686
18,Park,-3.202453709104388,55.95054091561817
19,Structure,-3.1892391019884583,55.95262047466306
20,Park,-3.207734793416563,55.96588335187255
21,Structure,-3.172436005988025,55.977925371257456
22,Structure,-3.2076172933754026,55.95175426182978
23,Structure,-3.1847238000000044,55.95370758124997
24,Entertainment,-3.1742341271393735,55.95074926405848
25,Historical,-3.2392285999999997,55.9184182
27,Museum,-3.2271948343195236,55.95087610650889
28,Structure,-3.1868621630188576,55.948245795471635
29,Structure,-3.1952324337146703,55.94908885935436
