poiID,poiCat,poiLon,poiLat
1,Amusement,135.4289382878105,34.65479175959366
2,Amusement,135.4306267944665,34.65614490909093
3,Amusement,135.50855763940035,34.65242308514182
4,Amusement,135.4336271953132,34.66475830078134
5,Amusement,135.4998940285709,34.703680330158626
6,Amusement,135.49013254999943,34.705322627272615
7,Park,135.50696077664924,34.69266442131975
8,Park,135.52582424865906,34.68653437337396
9,Park,135.48880599999998,34.612893
10,Park,135.51043665534092,34.65104219417449
11,Park,135.49385408196719,34.68545975409837
12,Park,135.52128527777776,34.61132941666667
15,Historical,135.5164392663755,34.65409199563325
16,Historical,135.49256448076923,34.612657000000006
17,Historical,135.52994,34.677756666666674
18,Historical,135.51246823934412,34.695621363934485
19,Entertainment,135.4796296190476,34.66778380952381
20,Entertainment,135.5009323832682,34.66742997665371
21,Entertainment,135.500556111111,34.67239257239053
22,Entertainment,135.5061961355934,34.652166481840126
23,Entertainment,135.50561435294117,34.660004392156864
24,Entertainment,135.49807975999988,34.67208495200003
25,Entertainment,135.48224743939394,34.72006954545454
26,Entertainment,139.76896139828057,35.675154257879626
27,Entertainment,135.501092,34.65772466666667
28,Entertainment,135.50244797297296,34.70325674324324
29,Entertainment,135.50583799999998,34.644641
