55329285@N05-1400	3	13	2	
72746018@N00-1716	2	6	8	
72746018@N00-1713	6	1	8	4	
43002463@N00-1162	13	2	7	
7797604@N05-1845	2	8	7	
28370443@N08-539	0	16	6	9	11	1	4	10	
24616128@N00-479	0	11	8	
33278177@N00-790	3	19	1	4	
84272941@N00-1976	0	1	4	
89182227@N00-2048	13	2	5	
30024546@N04-671	0	9	8	
20483509@N00-238	0	13	7	
22087304@N07-390	1	4	7	
11452054@N00-55	0	11	10	
16312054@N06-154	3	9	1	8	4	
11037560@N04-39	0	1	4	
74937968@N00-1774	3	1	8	
9828412@N05-2204	6	7	10	
56846157@N00-1426	2	6	5	1	4	
11037560@N04-38	0	11	4	
32714545@N05-781	11	22	1	
32693718@N07-780	3	0	1	
51207064@N00-1324	0	9	8	
30024546@N04-666	9	8	10	
33563858@N00-796	11	8	10	
30024546@N04-588	2	9	14	
62798459@N00-1495	24	9	1	
17358831@N00-178	6	1	10	
91685781@N00-2081	0	1	4	
70938076@N00-1676	0	1	8	
51168133@N00-1305	0	2	11	1	4	
112042056@N06-49	0	2	4	7	
17643132@N00-184	0	11	1	4	
35761150@N04-977	0	1	17	
35761150@N04-976	3	13	2	5	1	4	7	
82619366@N00-1910	0	2	9	
82619366@N00-1911	13	2	5	7	
55329285@N05-1383	13	2	5	
92367195@N00-2106	23	7	20	
55898913@N04-1416	3	0	19	1	7	
35034349172@N01-900	2	5	14	
82103247@N00-1897	0	1	4	
16516058@N03-159	3	0	9	1	4	
82103247@N00-1899	1	8	4	
82103247@N00-1898	1	8	4	
56889878@N03-1429	0	9	10	
14578360@N00-119	13	2	5	
7512717@N06-1779	0	9	1	8	4	
21047061@N04-248	3	0	1	
85397137@N00-1992	3	1	8	17	
63651050@N00-1507	3	6	11	
22087304@N07-386	0	13	2	4	
41418909@N06-1124	0	1	4	
34427470616@N01-814	3	1	10	
34427470616@N01-815	3	13	8	10	
30985799@N00-698	0	8	7	
35468159247@N01-958	0	13	2	14	
10482493@N05-31	0	1	8	4	
9286726@N03-2143	3	0	11	4	
7512717@N06-1780	3	6	1	
7868489@N05-1852	0	11	10	
57879122@N00-1444	0	1	4	10	
8503026@N04-1985	3	0	13	2	7	
73429256@N00-1733	3	11	1	
41894174966@N01-1128	3	0	4	
12982579@N00-90	6	8	14	7	10	
38166049@N00-1084	11	8	7	
16497759@N07-157	6	12	10	
45072550@N03-1223	0	13	11	1	4	
52686644@N04-1336	3	9	1	8	10	
57474170@N05-1441	0	12	8	4	
30671962@N05-683	0	25	4	
29797746@N08-576	3	6	9	14	7	10	17	
7587786@N05-1797	3	0	4	
70284683@N06-1560	24	1	4	
51207064@N00-1317	0	1	4	
30511496@N00-681	0	6	11	
14086506@N02-107	3	0	9	22	1	4	
8286908@N02-1951	0	2	11	
38826189@N00-1085	3	13	6	1	
7512717@N06-1778	0	1	8	4	
49253583@N02-1294	6	9	10	
9511818@N03-2156	3	1	4	
44232489@N02-1216	3	0	8	
30713600@N00-685	3	0	1	
23363966@N02-454	0	12	7	
31438571@N07-733	0	1	4	
48001787@N06-1250	0	8	7	
31803571@N02-762	0	11	15	
82103247@N00-1901	3	0	1	4	
22751315@N05-419	3	0	4	
25396215@N00-484	0	6	4	
65244239@N00-1518	12	14	7	
22087304@N07-401	23	7	20	
35468159247@N01-965	2	5	12	
98833136@N00-2214	0	11	4	
35468152754@N01-923	3	0	1	4	
37622685@N02-1076	13	2	7	
44124372821@N01-1211	0	11	7	10	
7883724@N05-1853	0	11	4	
85217508@N00-1988	0	6	11	1	4	20	
70544918@N00-1633	9	5	4	
31564588@N06-760	0	1	4	
35034349172@N01-899	2	5	14	7	
35034349172@N01-898	2	14	7	
22087304@N07-402	5	14	7	
30024546@N04-644	6	9	7	
49998283@N00-1298	0	6	8	10	
72579404@N00-1712	0	1	8	
49998283@N00-1297	9	11	10	
17424601@N00-179	3	0	4	
34995267@N00-827	9	10	17	
