95157838@N00-1085	1	19	12	
95157838@N00-1084	5	4	7	
95157838@N00-1086	9	0	7	
22669489@N00-86	6	1	0	3	7	
43749456@N05-441	6	4	1	12	
31484513@N00-263	8	19	7	
97972855@N00-1101	4	1	12	7	
85736811@N00-935	1	3	7	
91041933@N00-989	5	4	20	
71459982@N00-736	8	0	3	
27921677@N00-181	5	0	3	
38235150@N00-367	6	9	1	
7183194@N02-744	16	19	12	0	7	10	
51035737977@N01-574	4	1	0	
8909846@N06-970	4	0	3	
11354044@N05-8	9	21	12	7	
22087824@N00-83	1	29	0	
77526889@N00-820	6	9	4	18	0	
53289105@N00-584	1	19	3	7	17	
21147679@N08-69	0	7	17	
14003952@N04-43	5	4	0	
87807876@N00-955	16	12	0	3	7	
63282110@N00-680	12	3	10	
47957339@N00-487	5	8	11	
12452841@N00-23	0	3	10	
35391423@N00-324	6	9	5	1	
64667184@N02-697	5	0	10	
26678013@N00-171	6	9	11	
12452841@N00-24	16	19	0	3	17	
91609485@N00-1001	6	9	11	
75595126@N00-801	4	13	7	
68089733@N00-713	6	9	0	
68089733@N00-712	6	9	5	
44926895@N07-462	1	0	7	15	
56944727@N00-626	4	1	0	
49462908@N00-526	5	4	0	17	10	
29989965@N00-204	6	9	1	0	7	
94387617@N00-1069	0	3	17	
10340578@N06-3	16	3	7	
10307040@N08-2	4	1	3	7	
82414749@N00-897	5	4	0	
10340578@N06-4	6	9	1	
87807876@N00-945	0	3	11	
36330824413@N01-338	5	1	3	
88016824@N00-963	6	9	1	
94387617@N00-1028	5	3	11	
9643030@N08-1094	5	1	12	7	
